
=== F30 latency (median of 7) vs P40 — after upgrade 013 ===
  endpoint                     P40 ms   now ms    delta   verdict
  /home/kpis                     24.1     31.0     +6.9   ok
  /tasks/my-work                 24.4     14.4    -10.0   ok
  /home/agenda                    5.5      4.2     -1.3   ok
  list50                         17.3      9.9     -7.4   ok
  list200                        19.6     12.0     -7.6   ok
  /search?q=Perf                124.9     97.4    -27.5   ok
  /tasks/:id                      7.4      5.6     -1.8   ok
  comments                        5.9      4.8     -1.1   ok
  activity50                      7.4      5.3     -2.1   ok
  /activity?limit=50              4.0      3.8     -0.2   ok
  /activity/recent                2.6      2.6     +0.0   ok
  /spaces                         5.3      2.9     -2.4   ok
  /users?limit=50                 5.3      3.2     -2.1   ok
  /notifications?limit=50         6.2      3.2     -3.0   ok

  PASS — every endpoint 200, none slower than P40 beyond noise
